a ChatFormat
acw GhasEntity
acw$a GhastEntity$FlyTowardsTargetGoal
acw$b GhastEntity$MoveController
acw$c GhastEntity$ShootFireballGoal
acw$d GhastEntity$IdleFlyGoal
acx GiantEntity
acy GuardianEntity
acy$a GuardianEntity$GuardianAttackGoal
acy$b GuardianEntity$ClosePlayerOrSquidPredicate
acy$c GuardianEntity$MoveController
acz HuskEntity
ad AdvancementConditionDistance
ada IllusionIllagerEntity
ada$a IllusionIllagerEntity$BlindnessSpellGoal
ada$b IllusionIllagerEntity$DisappearSpellGoal
adb MagmaCubeEntity
adc MonsterEntity
add ZombiePigmanEntity
add$a ZombiePigmanEntity$AngerGoal
add$b ZombiePigmanEntity$AngerOtherGoal
ade RangedEntity
adf GenericAttribute
adg ShulkerEntity
adg$a ShulkerEntity$ShootShulkerBulletGoal
adg$b ShulkerEntity$EmptyBodyController
adg$c ShulkerEntity$TargetNearestLivingEntityGoal
adg$d ShulkerEntity$TargetNearestPlayerGoal
adg$e ShulkerEntity$PeekGoal
adh SilverfishEntity
adh$a SilverfishEntity$HideInsideBlockGoal
adh$b SilverfishEntity$AwakeOthersGoal
adi SkeletonEntity
adj SlimeEntity
adj$a SlimeEntity$MoveTowardsTargetGoal
adj$b SlimeEntity$RandomJumpGoal
adj$c SlimeEntity$SpeedGoal
adj$d SlimeEntity$MoveController
adj$e SlimeEntity$RandomDirectionGoal
adk MagicIllagerEntity
adk$a MagicIllagerEntity$Spell
adk$b MagicIllagerEntity$FindSpellTargetGoal
adk$c MagicIllagerEntity$SpellGoal
adl SpiderEntity
adl$a EntitySpider$MeleeAttackGoal
adl$b EntitySpider$SpiderGroupInfo
adl$c EntitySpider$NearestAttackableTargetGoal
adm StrayEntity
adn VexEntity
adn$a VexEntity$FollowOwnerTargetGoal
adn$b VexEntity$TargetOwnerTargetGoal
adn$c VexEntity$MoveController
adn$d VexEntity$IdleWanderGoal
ado VindicatorEntity
ado$a VindicatorEntity$NearestAttackableJohnnyTarget
adp WitchEntity
adq WitherSkeletonEntity
adr ZombieEntity
adr$a ZombieEntity$ZombieGroupInfo
ads ZombieVillagerEntity
adv NPC
adw VillagerEntity
adw$a VillagerEntity$BuyTrade
adw$b VillagerEntity$EnchantedBookTrade
adw$c VillagerEntity$EnchantTrade
adw$d VillagerEntity$RefineTrade
adw$e VillagerEntity$SellTrade
adw$f VillagerEntity$Trade
adw$g VillagerEntity$PriceRange
adw$h VillagerEntity$ExplorerMapTrade
adz PlayerAbilities
ae AdvancementTriggerEffectsChanged
ae$a AdvancementTriggerEffectsChanged$Checker
ae$b AdvancementTriggerEffectsChanged$CheckerInstance
aea PlayerInventory
aeb AbstractPlayerEntity
aeb$a AbstractPlayerEntity$BedStatus
aeb$b AbstractPlayerEntity$ChatVisibility
aeb$c AbstractPlayerEntity$PlayerHostileMonstersPredicate
aef ArrowEntity
aef$a ArrowEntity$Pickup
aeg DragonFireballEntity
aeh EvocationFangsEntity
aei EyeOfEnderEntity
aej FireballEntity
aek FireworkRocketEntity
ael LargeFireballEntity
aem LlamaSpitEntity
aen Projectile
aeo ProjectileUtils
aep ShulkerBulletEntity
aeq SmallFireballEntity
aer SnowballEntity
aes SpectralArrowEntity
aet ProjectileEntity
aeu EggEntity
aev EnderPearlEntity
aew ExpBottleEntity
aex PotionEntity
aey TippedArrowEntity
aez WitherSkullEntity
af AdvancementTriggerEnchantItem
af$a AdvancementTriggerEnchantItem$Checker
af$b AdvancementTriggerEnchantItem$CheckerInstance
afb BoatEntity
afb$a BoatEntity$Status
afb$b BoatEntity$Type
afc MinecartEntity
afc$a MinecartEntity$Type
afd ChestMinecartEntity
afe CommandBlockMinecartEntity
aff InventoryMinecartEntity
afg FurnaceMinecartEntity
afh HopperMinecartEntity
afi RideableMinecartEntity
afj MobSpawnerMinecartEntity
afk TNTMinecartEntity
afn FoodData
afp Container
afq AnvilContainer
afr BeaconContainer
afr$a BeaconContainer$BeaconSlot
afs BrewingStandContainer
afs$a BrewingStandContainer$FuelSlot
afs$b BrewingStandContainer$BrewingSlot
afs$c BrewingStandContainer$BottleSlot
aft ChestContainer
afu ClickType
afv Crafter
afw CraftingInventory
afx CraftingTableContainer
afy DispenserContainer
afz EnchantingTableContainer
ag AdvancementConditionEnchantment
aga FurnaceFuelSlot
agb FurnaceContainer
agc FurnaceResultSlut
agd HopperContainer
age HorseInventory
agf HorseContainer
agg PlayerContainer
agh VillagerInventory
agi VillagerContainer
agj VillagerResultSlot
agk EnderChestInventory
agl ResultInventory
agm ResultSlot
agn ShulkerBoxContainer
ago ShulkerBoxSlot
agp Slot
agr AirItem
ags AnvilItem
agt ArmourItem
agt$a ArmourItem$Type
agu ArmourStandItem
agv ArrowItem
agw AxeItem
agx BannerItem
agy BedItem
agz BlockItem
ah AdvancementTriggerEnterBlock
ah$a AdvancementTriggerEnterBlock$Checker
ah$b AdvancementTriggerEnterBlock$CheckerInstance
aha ReedItem
ahb BoatItem
ahc BookItem
ahd GlassBottleItem
ahe BowItem
ahf SoupItem
ahg BucketItem
ahh CarrotOnAStickItem
ahi ChorusFruitItem
ahj ClockItem
ahk CoalItem
ahl CompassItem
ahm MapItem
ahn CreativeTab
aho ToolItem
ahp DoorItem
ahq DyeColour
ahr DyeItem
ahs ColourableItem
aht EggItem
ahu ElytraItem
ahv EmptyMapItem
ahw EnchantedBookItem
ahx EndCrystalItem
ahy EyeOfEnderItem
ahz EnderPearlItem
ai AdvancementTriggerEntityHurtPlayer
ai$a AdvancementTriggerEntityHurtPlayer$Checker
ai$b AdvancementTriggerEntityHurtPlayer$CheckerInstance
aia ExpBottleItem
aib FireChargeItem
aic FireworkChargeItem
aid FireworkItem
aie FishItem
aie$a FishItem$Type
aif FishingRodItem
aig FlintAndSteelItem
aih FoodItem
aii GoldenAppleItem
aij StationaryItem
aik HoeItem
ail Item
ail$a Item$ToolMaterial
aim ItemCooldown
aim$a ItemCooldown$Entry
ain ItemStack
aio ItemTexture
aip Items
aiq KnowledgeBookItem
air LeadItem
ais LeavesItem
ait LingeringPotionItem
aiu FilledMapItem
aiv MilkBucketItem
aiw MinecartItem
aix ItemMultiTexture
aix$a ItemMultiTexture$TextureRetriever
aiy NameTagItem
aiz PickaxeItem
aj AdvancementConditionEntity
aja PistonItem
ajb PotionItem
ajc ItemRarity
ajd RecordItem
aje RedstoneItem
ajf SaddleItem
ajg PlantingFoodItem
ajh WheatSeedsItem
aji PlayerItemCooldown
ajj ShearsItem
ajk ShieldItem
ajl ShovelItem
ajm ShulkerBoxItem
ajn SignItem
ajo NetherStarItem
ajp SkullItem
ajq SlabItem
ajr SnowItem
ajs SnowballItem
ajt SpawnEggItem
aju SpectralArrowItem
ajv SplashPotionItem
ajw SwordItem
ajx PlantItem
ajy TippedArrowItem
ak AdvancementTriggerImpossible
ak$a AdvancementTriggerImpossible$CheckerInstance
aka ItemAnimation
akb LilypadItem
akc BookAndQuillItem
akd WrittenBookItem
ake Potion
akf BrewingRecipes
akf$a BrewingRecipes$Recipe
akg PotionUtils
akh Potions
akj ArmourDyeRecipe
akk BannerRecipes
akk$a BannerRecipes$Pattern
akk$b BannerRecipes$Duplicate
akl BookCopyRecipe
akm FireworkRecipe
akn FurnaceRecipes
ako ItemRecipePredicate
akp CloneMapRecipe
akq ExtendMapRecipe
akr CraftingRecipe
aks CraftingRegistry
akt RepairRecipe
aku ShapedRecipe
akv ShapelessRecipe
akw ShieldRecipes
akw$a ShieldRecipes$Decoration
akx ShulkerBoxRecipe
akx$a ShulkerBoxRecipe$Colouring
aky TippedArrowRecipe
al AdvancementTriggerInventoryChange
al$a AdvancementTriggerInventoryChange$Checker
al$b AdvancementTriggerInventoryChange$CheckerInstance
ala PowerEnchantment
alb FlameEnchantment
alc InfinityEnchantment
ald PunchEnchantment
ale BindingCurseEnchantment
alf WeaponDamageEnchantment
alg UnbreakingEnchantment
alh EfficiencyEnchantment
ali Enchantment
ali$a Enchantment$Rarity
alj EnchantmentSlotType
alk EnchantmentHelper
alk$a EnchantmentHelper$BaneOfArthropodsModifier
alk$b EnchantmentHelper$ThornsModifier
alk$c EnchantmentHelper$Modifier
alk$d EnchantmentHelper$WeaponDamageModifier
alk$e EnchantmentHelper$ProtectionModifier
all WeightedRandomEnchantment
alm Enchantments
aln FireAspectEnchantment
alo LureEnchantment
alp FrostWalkerEnchantment
alq KnockbackEnchantment
alr LootBonusEnchantment
als MendingEnchantment
alt RespirationEnchantment
alu ProtectionEnchantment
alu$a ProtectionEnchantment$Type
alv SweepingEnchantment
alw ThornsEnchantment
alx SilkTouchEnchantment
aly VanishingCurseEnchantment
alz DepthStriderEnchantment
am AdvancementTriggerItemDurabilityChange
am$a AdvancementTriggerItemDurabilityChange$Checker
am$b AdvancementTriggerItemDurabilityChange$CheckerInstance
ama AquaAffinityEnchantment
amd Merchant
ame MerchantRecipe
amf MerchantRecipeList
amh AbstractCommandBlockSender
ami AbstractMobSpawner
amj BlockAction
aml ChunkCoordinate
amn Explosion
amp GameRules
amp$a GameRules$Value
amp$b GameRules$Type
amq Gamemode
ams AbstractWorld
amt WorldSessionException
amu WorldListener
amv WorldProperties
amw BlockInfoHolder
amx WorldType
amy BlockLightType
amz WorldEntitySpawner
an AdvancementConditionItem
ana WorldTeleporter
ana$a WorldTeleporter$PortalPosition
anb CachedChunk
anc MobSpawnerData
and TickUpdateEntry
ane BeachBiome
anf Biome
anf$a Biome$Properties
anf$b Biome$Temperature
anf$c Biome$SpawnEntry
ang BiomeCache
ang$a BiomeCache$Entry
ani BiomeDecorator
anj BiomeSource
ank Biomes
anm DesertBiome
ann ExtremeHillsBiome
ann$a ExtremeHillsBiome$Type
ano SingleBiomeSource
anp ForestBiome
anp$a ForestBiome$Type
anq HellBiome
anr NetherBiomeDecorator
ans IceBiome
ant JungleBiome
anu MesaBiome
anu$a MesaBiome$Decorator
anv MushroomIslandBiome
anw MutatedForestBiome
anx MutatedSavannaBiome
any OceanBiome
anz PlainsBiome
ao AdvancementTriggerKill
ao$a AdvancementTriggerKill$Checker
ao$b AdvancementTriggerKill$CheckerInstance
aoa RiverBiome
aob SavannaBiome
aoc StoneBeachBiome
aod SwampBiome
aoe TaigaBiome
aoe$a TaigaBiome$Type
aof SkyBiome
aog EndBiomeDecorator
aog$a EndBiomeDecorator$PillarCacheLoader
aoh VoidBiome
aoi VoidBiomeDecorator
aok AirBlock
aol AnvilBlock
aol$a AnvilBlock$TileEntityContainer
aom BannerBlock
aom$a BannerBlock$StandingBanner
aom$b BannerBlock$WallBanner
aon BarrierBlock
aoo TileEntityBlock
aop PressurePlateBlock
aoq AbstractRailBlock
aoq$a AbstractRailBlock$Info
aoq$b AbstractRailBlock$Direction
aor BeaconBlock
aos BedBlock
aos$a BedBlock$Side
aot BeetrootBlock
aou Block
aou$a Block$OffsetDirection
aov Blocks
aow BoneBlock
aox Growable
aoy BookshelfBlock
aoz BrewingStandBlock
ap AdvancementTriggerLevitation
ap$a AdvancementTriggerLevitation$Checker
ap$b AdvancementTriggerLevitation$CheckerInstance
apa PlantBlock
apb ButtonBlock
apc CactusBlock
apd CakeBlock
ape CarrotBlock
apf CauldronBlock
apg ChestBlock
apg$a ChestBlock$Type
aph ChorusFlowerBlock
api ChorusFruitBlock
apj ClayBlock
apk CocoaBlock
apl ColourableBlock
apm CommandBlock
apn ComparatorBlock
apn$a ComparatorBlock$Mode
apo ConcretePowderBlock
app CraftingTableBlock
app$a CraftingTableBlock$TileEntityContainer
apq WheatBlock
apr DaylightSensorBlock
aps DeadBushBlock
apt DetectorRailBlock
apu DiodeBlock
apv DirectionalBlock
apw DirtBlock
apw$a DirtBlock$Type
apx DispenserBlock
apy DoorBlock
apy$a DoorBlock$Half
apy$b DoorBlock$Hinge
apz TallFlowerBlock
apz$a TallFlowerBlock$Half
apz$b TallFlowerBlock$Variant
aq AdvancementConditionLocation
aqa DragonEggBlock
aqb DropperBlock
aqc FlowingFluidBlock
aqd EnchantmentTableBlock
aqe EndGatewayBlock
aqf EnderPortalBlock
aqg EnderPortalFrameBlock
aqh EndRodBlock
aqi EnderChestBlock
aqj TileEntityCreator
aqk FallingBlock
aql FarmlandBlock
aqm FenceBlock
aqn FenceGateBlock
aqo FireBlock
aqp FlowerBlock
aqp$a FlowerBlock$Variant
aqp$b FlowerBlock$Type
aqq FlowerPotBlock
aqq$a FlowerPotBlock$ContainedPlant
aqr FrostedIceBlock
aqs DoubleStoneSlab2Blcok
aqt DoubleStoneSlabBlock
aqu DoubleWoodenSlabBlock
aqv FurnaceBlock
aqw GlassBlock
aqx GlazedTerracottaBlock
aqy GlowstoneBlock
aqz GrassBlock
ar AdvancementTriggerLocation
ar$a AdvancementTriggerLocation$Checker
ar$b AdvancementTriggerLocation$CheckerInstance
ara GrassPathBlock
arb GravelBlock
arc StoneSlab2Block
ard SlabBlock
ard$a SlabBlock$Half
are StoneSlabBlock
arf SemiTransparentBlock
arg WoodenSlabBlock
arh HardenedClayBlock
ari HayBlock
arj HopperBlock
ark HorizontalFacingBlock
arl HugeMushroomBlock
arl$a HugeMushroomBlock$Variant
arm IceBlock
arn JukeBoxBlock
arn$a JukeBoxBlock$TileEntity
aro LadderBlock
arp AbstractLeavesBlock
arr LeverBlock
arr$a LeverBlock$Position
ars FluidBlock
art AbstractLogBlock
art$a AbstractLogBlock$Orientation
aru MagmaBlock
arv MelonBlock
arw BlockMirrorDirection
arx MobSpawnerBlock
ary MonsterEggBlock
ary$a MonsterEggBlock$Variant
arz MushroomBlock
as AdvancementConditionValue
asa MyceliumBlock
asb NetherbrickBlock
asc NetherWartBlock
asd NetherrackBlock
ase Leaves2Block
asf Log2Block
asg AbstractStoneSlab2Block
asg$a AbstractStoneSlab2Block$Variant
ash BedrockBlock
asi NoteBlock
asj ObserverBlock
ask ObsidianBlock
asl Leaves1Block
asm Log1Block
asn OreBlock
aso PackedIceBlock
asp WoodenPlanksBlock
asp$a WoodenPlanksBlock$Variant
asq PortalBlock
asq$a PortalBlock$Shape
asr PotatoBlock
ass RedstoneBlock
ast PoweredRailBlock
asu SimplePressurePlateBlock
asu$a SimplePressurePlateBlock$EntityType
asv PrismarineBlock
asv$a PrismarineBlock$Variant
asw PumpkingBlock
asx PurpurSlabBlock
asx$a PurpurSlabBlock$Double
asx$b PurpurSlabBlock$Half
asx$c PurpurSlabBlock$Variant
asy QuartzBlock
asy$a QuartzBlock$Variant
asz RailBlock
at AdvancementConditionEffects
at$a AdvancementConditionEffects$Checker
ata RedFlowerBlock
atb RedSandstoneBlock
atb$a RedSandstoneBlock$Variant
atc RedstoneOreBlock
atd RedstoneWireBlock
atd$a RedstoneWireBlock$ConnectionDirection
ate RedstoneLampBlock
atf RedstoneTorchBlock
atf$a RedstoneTorchBlock$UpdateInfo
atg SugarCaneBlock
ath RenderingType
ati RepeaterBlock
atj RotatableBlock
atk BlockRotationDirection
atl SandBlock
atl$a SandBlock$Variant
atm SandstoneBlock
atm$a SandstoneBlock$Variant
atn SaplingBlock
ato SeaLanternBlock
atp ShulkerBoxBlock
atq SignBlock
atr SkullBlock
ats SlimeBlock
att SnowBlock
atu SnowLayerBlock
atv SoulSandBlock
atw SoundEffectType
atx SpongeBlock
aty StainedGlassBlock
atz StainedGlassPaneBlock
au AdvancementConditionNBT
aua StainedHardenedClayBlock
aub StairsBlock
aub$a StairsBlock$Half
aub$b StairsBlock$CornerOrientation
auc StandingSignBlock
aud StationaryFluidBlock
aue StemBlock
auf StoneBlock
auf$a StoneBlock$Variant
aug StoneBrickBlock
aug$a StoneBrickBlock$Variant
auh StoneButtonBlock
aui AbstractStoneSlabBlock
aui$a AbstractStoneSlabBlock$Variant
auj StructureBlock
auk StructureVoidBlock
aul TallGrassBlock
aul$a TallGrassBlock$Type
aum ThinBlock
aun TNTBlock
auo TorchBlock
aup TrapdoorBlock
aup$a TrapdoorBlock$Half
auq TripwireBlock
aur TripwireHookBlock
aus VineBlock
aut CobblestoneWallBlock
aut$a CobblestoneWallBlock$Variant
auu WallSignBlock
auv LilypadBlock
auw CobwebBlock
auy WeightedPressurePlateBlock
auz WoodenButtonBlock
av AdvancementTriggerNetherTravel
av$a AdvancementTriggerNetherTravel$Checker
av$b AdvancementTriggerNetherTravel$CheckerInstance
ava AbstractWoodenSlabBlock
avb CarpetBlock
avc YellowFlowerBlock
avd BannerTileEntity
ave BannerPattern
avf BeaconTileEntity
avf$a BeaconTileEntity$BeaconColorTracker
avg BedTileEntity
avh TileEntity
avi BrewingStandTileEntity
avj ChestTileEntity
avk CommandBlockTileEntity
avk$a CommandBlockTileEntity$Type
avl ComparatorTileEntity
avm DaylightSensorTileEntity
avn DispenserTileEntity
avo DropperTileEntity
avp EnchantmentTableTileEntity
avq EnderChestTileEntity
avr FlowerPotTileEntity
avs FurnaceTileEntity
avt Hopper
avu HopperTileEntity
avv TileEntityContainer
avw MobSpawnerTileEntity
avx NoteBlockTileEntity
avy LootableTileEntity
avz ShulkerBoxTileEntity
avz$a ShulkerBoxTileEntity$State
aw AdvancementTriggerPlaceBlock
aw$a AdvancementTriggerPlaceBlock$Checker
aw$b AdvancementTriggerPlaceBlock$CheckerInstance
awa SignTileEntity
awb SkullTileEntity
awc StructureBlockTileEntity
awc$a StructureBlockTileEntity$Mode
awd EndGatewayTileEntity
awe EnderPortalTileEntity
awh PistonBlock
awi PistonHeadBlock
awi$a PistonHeadBlock$Type
awj PistonExtensionBlock
awk PistonTileEntity
awl PistonExtensionHelper
awn AbstractBlockState
awo BlockPhysicsHandler
awp EnumBlockFaceShape
awq BlockPropertiesHolder
awr BlockState
aws BlockStateContainer
aws$a BlockStateContainer$BlockState
awu BlockReference
awv MultiBlockPattern
awv$a MultiBlockPattern$BlockReferenceLoader
awv$b MultiBlockPattern$Info
aww MultiBlockPatternBuilder
awy MaterialPredicate
awz BlockPredicate
ax AdvancementTriggerPlayerHurtEntity
ax$a AdvancementTriggerPlayerHurtEntity$Checker
ax$b AdvancementTriggerPlayerHurtEntity$CheckerInstance
axa BlockStatePredicate
axc AbstractBlockStateProperty
axd BlockStateBooleanProperty
axe BlockStateDirectionProperty
axf BlockStateEnumProperty
axg BlockStateIntegerProperty
axh BlockStateProperty
axj WorldBorderListener
axk WorldBorderState
axl WorldBorder
axn Palette1
axo ChunkGenerator
axp ChunkCache
axq DataLayer
axs Palette2
axt Palette3
axu Chunk
axu$a Chunk$TileEntityRequestType
axv ChunkSection
axw Palette4
axx LegacyDataLayer
axy Palette5
axz Palette
ay AdvancementTriggerUnlockRecipe
ay$a AdvancementTriggerUnlockRecipe$Checker
ay$b AdvancementTriggerUnlockRecipe$CheckerInstance
ayc AnvilChunkLoader
ayd ChunkLoader
ayg LegacyChunkLoader
ayg$a LegacyChunkLoader$Chunk
ayh RegionFile
ayh$a RegionFile$ChunkBuffer
ayi RegionFileManager
ayk WorldHelper
ayl Dimension
aym NetherWorldHelper
ayn OverworldWorldHelper
ayo DragonRespawnPhase
ayp DragonFight
ayq TheEndWorldHelper
ayt RavineWorldGenerationElement
ayu ChunkSnapshot
ayv CustomizedWorldGenerationSettings
ayv$a CustomizedWorldGenerationSettings$DefaultSettings
ayv$b CustomizedWorldGenerationSettings$Serializer
ayw DebugChunkGenerator
ayx SuperflatChunkGenerator
ayy CaveWorldGenerationElement
ayz LargeWorldGenerationElement
az AdvancementTriggerSummonEntity
az$a AdvancementTriggerSummonEntity$Checker
az$b AdvancementTriggerSummonEntity$CheckerInstance
aza NetherCaveWorldGenerationElement
azb NetherChunkGenerator
azc OverworldChunkGenerator
azd TheEndChunkGenerator
aze TreeWorldGenerationElement
azf BigTreeWorldGenerationElement
azf$a BigTreeWorldGenerationElement$CrownPosition
azg BirchTreeWorldGenerationElement
azh ForestRockWorldGenerationElement
azi BonusChestWorldGenerationElement
azj MushroomWorldGenerationElement
azk CactusWorldGenerationElement
azl ClayWorldGenerationElement
azm DeadBushWorldGenerationElement
azn DesertWellWorldGenerationElement
azo TallFlowerWorldGenerationElement
azp EndGatewayWorldGenerationElement
azq EndIslandWorldGenerationElement
azr EndExitPortalWorldGenerationElement
azs SmallWorldGenerationElement
azt FlowerWorldGenerationElement
azu FossilWorldGenerationElement
azv JungleBushGenerationELement
azw FireWorldGenerationElement
azx Glowstone2WorldGenerationElement
azy NetherLavaWorldGenerationElement
azz HugeMushroomWorldGenerationElement
b CrashReport
ba AdvancementTriggerTameAnimal
ba$a AdvancementTriggerTameAnimal$Checker
ba$b AdvancementTriggerTameAnimal$ChekerInstance
baa IceSpike1WorldGenerationElement
bab IceSpike2WorldGenerationElement
bac LakeWorldGEnerationElement
bad Glowstone1WorldGenerationElement
bae HugeJungleTreeWorldGenerationElement
baf HugeTaigaTreeWorldGenerationElement
bag HugeTreeWorldGenerationElement
bah MelonWorldGenerationElement
bai DungeonWorldGenerationElement
baj VeinWorldGenerationElement
baj$a VeinWorldGenerationElement$NaturalStonePredicate
bak TaigaTree1WorldGenerationElement
bal PumpkinWorldGenerationElement
bam SugarCaneWorldGenerationElement
ban DarkOakTreeWorldGenerationElement
bao SandWorldGenerationElement
bap AcaciaTreeWorldGenerationElement
baq ObsidianPillarWorldGenerationElement
baq$a ObsidianPillarWorldGenerationElement$Pillar
bar WaterOrLavaFallWorldGenerationElement
bas TaigaTree2WorldGenerationElement
bat SwampTreeWorldGenerationElement
bau TallGrassWorldGenerationElement
bav OakTreeWorldGenerationElement
baw VineWorldGenerationElement
bax LilypadWorldGenerationElement
baz SuperflatInfo
bb AdvancementTriggerTick
bb$a AdvancementTriggerTick$Checker
bb$b AdvancementTriggerTick$CheckerInstance
bba SuperFlatLayerInfo
bbe StructureBoundingBox
bbf EndCityStructure
bbf$a EndCityStructure$Start
bbg EndCityPieces
bbg$a EndCityPieces$Piece
bbg$b EndCityPieces$PieceGenerator
bbh MineshaftStructure
bbh$a MineshaftStructure$Type
bbi MineshaftPieces
bbi$a MineshaftPieces$Corridor
bbi$b MineshaftPieces$Crossing
bbi$c MineshaftPieces$Piece
bbi$d MineshaftPieces$Room
bbi$e MineshaftPieces$Stairs
bbj MineshaftStructureStart
bbk NetherFortressStructure
bbk$a NetherFortressStructure$Start
bbl NetherFortressPieces
bbl$a NetherFortressPieces$BridgeCrossing
bbl$b NetherFortressPieces$BridgeEnd
bbl$c NetherFortressPieces$BridgeStraight
bbl$d NetherFortressPieces$Corridor
bbl$e NetherFortressPieces$Corridor2
bbl$f NetherFortressPieces$Entrance
bbl$g NetherFortressPieces$Crossing
bbl$h NetherFortressPieces$Corridor3
bbl$i NetherFortressPieces$Corridor4
bbl$j NetherFortressPieces$Corridor5
bbl$k NetherFortressPieces$NetherWartRoom
bbl$l NetherFortressPieces$ThroneRoom
bbl$m NetherFortressPieces$Piece
bbl$n NetherFortressPieces$PieceChance
bbl$o NetherFortressPieces$Crossing2
bbl$p NetherFortressPieces$StairRoom
bbl$q NetherFortressPieces$Start
bbm OceanMonumentStructure
bbm$a OceanMonumentStructure$Start
bbn OceanMonumentPieces
bbn$a OceanMonumentPieces$DoubleXRoomHelper
bbn$b OceanMonumentPieces$DoubleXYRoomHelper
bbn$c OceanMonumentPieces$DoubleYRoomHelper
bbn$d OceanMonumentPieces$DoubleYZRoomHelper
bbn$e OceanMonumentPieces$DoubleZRoomHelper
bbn$f OceanMonumentPieces$SimpleHelper
bbn$g OceanMonumentPieces$SimpleTopHelper
bbn$h OceanMonumentPieces$Building
bbn$i OceanMonumentPieces$PieceHelper
bbn$j OceanMonumentPieces$CenterRoom
bbn$k OceanMonumentPieces$DoubleXRoom
bbn$l OceanMonumentPieces$DoubleXYRoom
bbn$m OceanMonumentPieces$DoubleYRoom
bbn$n OceanMonumentPieces$DoubleYZRoom
bbn$o OceanMonumentPieces$DoubleZRoom
bbn$p OceanMonumentPieces$Entry
bbn$q OceanMonumentPieces$Penthouse
bbn$r OceanMonumentPieces$Piece
bbn$s OceanMonumentPieces$Simple
bbn$t OceanMonumentPieces$SimpleTop
bbn$u OceanMonumentPieces$WingRoom
bbn$v OceanMonumentPieces$RoomInfo
bbo SmallStructure
bbo$a SmallStructure$Start
bbp SmallStructurePieces
bbp$a SmallStructurePieces$Pyramid
bbp$b SmallStructurePieces$Igloo
bbp$c SmallStructurePieces$JungleTemple
bbp$c$a SmallStructurePieces$JungleTemple$BlockTypeSelector
bbp$d SmallStructurePieces$Piece
bbp$e SmallStructurePieces$WitchHut
bbq StrongholdStructure
bbq$a StrongholdStructure$Start
bbr StrongholdPieces
bbr$a StrongholdPieces$ChestCorridor
bbr$b StrongholdPieces$Corridor
bbr$c StrongholdPieces$Crossing
bbr$d StrongholdPieces$LeftTurn
